Date,Open,High,Low,Close,Adj Close,Volume
2019-04-17,0.200000,0.200000,0.200000,0.200000,0.200000,0
2019-04-18,0.200000,0.200000,0.200000,0.200000,0.200000,0
2019-04-19,0.200000,0.200000,0.200000,0.200000,0.200000,0
2019-04-22,0.200000,0.200000,0.200000,0.200000,0.200000,0
2019-04-23,0.200000,0.200000,0.200000,0.200000,0.200000,0
2019-04-24,0.200000,0.200000,0.200000,0.200000,0.200000,0
2019-04-25,0.200000,0.200000,0.200000,0.200000,0.200000,0
2019-04-26,0.200000,0.200000,0.200000,0.200000,0.200000,0
2019-04-29,0.200000,0.200000,0.200000,0.200000,0.200000,0
2019-04-30,0.200000,0.200000,0.200000,0.200000,0.200000,0
2019-05-02,0.200000,0.200000,0.200000,0.200000,0.200000,0
2019-05-03,0.200000,0.200000,0.200000,0.200000,0.200000,0
2019-05-06,0.200000,0.200000,0.200000,0.200000,0.200000,0
2019-05-07,0.200000,0.200000,0.200000,0.200000,0.200000,0
2019-05-08,0.200000,0.200000,0.200000,0.200000,0.200000,0
2019-05-09,0.200000,0.200000,0.200000,0.200000,0.200000,0
2019-05-10,0.200000,0.200000,0.200000,0.200000,0.200000,0
2019-05-13,0.200000,0.200000,0.200000,0.200000,0.200000,0
2019-05-14,0.200000,0.200000,0.200000,0.200000,0.200000,0
2019-05-15,0.200000,0.200000,0.200000,0.200000,0.200000,0
2019-05-16,0.200000,0.200000,0.200000,0.200000,0.200000,0
2019-05-17,0.200000,0.200000,0.200000,0.200000,0.200000,0
2019-05-21,0.200000,0.200000,0.200000,0.200000,0.200000,0
2019-05-22,0.200000,0.200000,0.200000,0.200000,0.200000,0
2019-05-23,0.200000,0.200000,0.200000,0.200000,0.200000,0
2019-05-24,0.200000,0.200000,0.200000,0.200000,0.200000,0
2019-05-27,0.200000,0.200000,0.200000,0.200000,0.200000,0
2019-05-28,0.200000,0.200000,0.200000,0.200000,0.200000,0
2019-05-29,0.200000,0.200000,0.200000,0.200000,0.200000,0
2019-05-30,0.200000,0.200000,0.200000,0.200000,0.200000,0
2019-05-31,0.200000,0.200000,0.200000,0.200000,0.200000,0
2019-06-03,0.200000,0.200000,0.200000,0.200000,0.200000,0
2019-06-04,null,null,null,null,null,null
2019-06-05,0.200000,0.200000,0.200000,0.200000,0.200000,0
2019-06-06,0.200000,0.200000,0.200000,0.200000,0.200000,0
2019-06-07,0.200000,0.200000,0.200000,0.200000,0.200000,0
